Type,State,Year,Month,Make,Model,Variant,IDV
Two Wheeler,Chandigarh,2021,March,VESPA,VXL 125,FACELIFT,108805
Two Wheeler,Chandigarh,2021,March,VESPA,VXL 150,BS VI,116702
Two Wheeler,Chandigarh,2021,March,VESPA,VXL 150,FACELIFT,120509
Two Wheeler,Chandigarh,2021,March,VESPA,ZX 125,BS VI FI,98490
Two Wheeler,Chandigarh,2021,March,YAMAHA,FASCINO 125,DLX DISC BRAKE,72514
Two Wheeler,Chandigarh,2021,March,YAMAHA,FASCINO 125,DLX DRUM BRAKE,70139
Two Wheeler,Chandigarh,2021,March,YAMAHA,FASCINO 125,STANDARD DISC BRAKE,71564
Two Wheeler,Chandigarh,2021,March,YAMAHA,FASCINO 125,STANDARD DRUM BRAKE,69189
Two Wheeler,Chandigarh,2021,March,YAMAHA,FZ S V 3.0,DARK KNIGHT BLUETOOTH,103265
Two Wheeler,Chandigarh,2021,March,YAMAHA,FZ S V 3.0,SINGLE CHANNEL ABS BS VI,99465
Two Wheeler,Chandigarh,2021,March,YAMAHA,FZ S V 3.0,SINGLE CHANNEL ABS DARK BS VI,102315
Two Wheeler,Chandigarh,2021,March,YAMAHA,FZ S V 3.0,STANDARD BLUETOOTH,101840
Two Wheeler,Chandigarh,2021,March,YAMAHA,FZ S V 3.0,VINTAGE,104215
Two Wheeler,Chandigarh,2021,March,YAMAHA,FZ S V 3.0,VINTAGE BLUETOOTH,105165
Two Wheeler,Chandigarh,2021,March,YAMAHA,FZ V 3.0,BS VI,98515
Two Wheeler,Chandigarh,2021,March,YAMAHA,FZ V 3.0,SINGLE CHANNEL ABS BS VI,97565
Two Wheeler,Chandigarh,2021,March,YAMAHA,FZ25,STANDARD,145920
Two Wheeler,Chandigarh,2021,March,YAMAHA,FZS 25,STANDARD,150670
Two Wheeler,Chandigarh,2021,March,YAMAHA,MT-15,BS VI,134615
Two Wheeler,Chandigarh,2021,March,YAMAHA,MT-15,SPECIAL EDITION BS VI,135565
Two Wheeler,Chandigarh,2021,March,YAMAHA,RAY ZR 125,DISC,74594
Two Wheeler,Chandigarh,2021,March,YAMAHA,RAY ZR 125,DRUM,71744
Two Wheeler,Chandigarh,2021,March,YAMAHA,RAY ZR 125,STREET RALLY,75544
Two Wheeler,Chandigarh,2021,March,YAMAHA,YZF R15 V3,DARKNIGHT ABS BS VI,145065
Two Wheeler,Chandigarh,2021,March,YAMAHA,YZF R15 V3,DUAL CHANNEL ABS BS VI,143070
Two Wheeler,Chandigarh,2021,March,YAMAHA,YZF R15 V3,RACING BLUE ABS BS VI,144115
Two Wheeler,Chandigarh,2021,March,YO,DRIFT,STANDARD,48450
Two Wheeler,Chandigarh,2021,March,YO,EDGE,STANDARD,46550
Two Wheeler,Chandigarh,2021,March,YO,ELECTRON,ER,34394
Two Wheeler,Chandigarh,2021,March,YO,XPLOR,STANDARD,37598
Two Wheeler,Chandigarh,2021,March,YOGO,SMART,STANDARD,74100
Two Wheeler,Chandigarh,2021,March,YOGO,TRENDY,STANDARD,52250
Two Wheeler,Chandigarh,2021,March,YUKIE,SHIGA,STANDARD,48559
Two Wheeler,Chandigarh,2021,March,YUKIE,YUVEE,STANDARD,42166
Two Wheeler,Chhattisgarh,2021,March,22KYMCO,IFLOW,STANDARD,85500
Two Wheeler,Chhattisgarh,2021,March,22MOTORS,FLOW,STANDARD,71003
Two Wheeler,Chhattisgarh,2021,March,AMO MOBILITY,FEISTY,STANDARD,57200
Two Wheeler,Chhattisgarh,2021,March,AMO MOBILITY,INSPIRER,60V 25AH,68399
Two Wheeler,Chhattisgarh,2021,March,AMO MOBILITY,INSPIRER,60V 34AH,74099
Two Wheeler,Chhattisgarh,2021,March,AMO MOBILITY,INSPIRER,STANDARD,45599
Two Wheeler,Chhattisgarh,2021,March,AMO MOBILITY,JAUNTY,60V 25AH,68399
Two Wheeler,Chhattisgarh,2021,March,AMO MOBILITY,JAUNTY,60V 34AH,74099
Two Wheeler,Chhattisgarh,2021,March,AMO MOBILITY,JAUNTY,STANDARD,54719
Two Wheeler,Chhattisgarh,2021,March,AMO MOBILITY,JAUNTY 3W,STANDARD,71724
Two Wheeler,Chhattisgarh,2021,March,AMO MOBILITY,S-PIN,STANDARD,41426
Two Wheeler,Chhattisgarh,2021,March,AMPERE,MAGNUS,LEAD ACID BATTERY,47499
Two Wheeler,Chhattisgarh,2021,March,AMPERE,MAGNUS,PRO - LI BATTERY,70291
Two Wheeler,Chhattisgarh,2021,March,AMPERE,REO,LEAD ACID BATTERY,37904
Two Wheeler,Chhattisgarh,2021,March,AMPERE,REO,LI,50254
Two Wheeler,Chhattisgarh,2021,March,AMPERE,REO,PLUS LEAD ACID BATTERY,41316
Two Wheeler,Chhattisgarh,2021,March,AMPERE,REO,PLUS LI,53381
Two Wheeler,Chhattisgarh,2021,March,AMPERE,REO ELITE,LEAD ACID BATTERY,40849
Two Wheeler,Chhattisgarh,2021,March,AMPERE,REO ELITE,LI BATTERY,56991
Two Wheeler,Chhattisgarh,2021,March,AMPERE,V48,LEAD ACID BATTERY,32584
Two Wheeler,Chhattisgarh,2021,March,AMPERE,V48,LI,47974
Two Wheeler,Chhattisgarh,2021,March,AMPERE,ZEAL,LI,64504
Two Wheeler,Chhattisgarh,2021,March,APRILIA,SR 160,CARBON BS VI,102925
Two Wheeler,Chhattisgarh,2021,March,APRILIA,SR 160,FACELIFT BS VI,99984
Two Wheeler,Chhattisgarh,2021,March,APRILIA,SR 160,RACE BS VI,106538
Two Wheeler,Chhattisgarh,2021,March,APRILIA,SR125,BS VI FI,88303
Two Wheeler,Chhattisgarh,2021,March,APRILIA,SR125,FACELIFT,90700
Two Wheeler,Chhattisgarh,2021,March,APRILIA,STORM 125,BS VI FI,83037
Two Wheeler,Chhattisgarh,2021,March,APRILIA,STORM 125,DISC,88281
Two Wheeler,Chhattisgarh,2021,March,APRILIA,SXR 160,STANDARD,121351
Two Wheeler,Chhattisgarh,2021,March,ATHER,450,STANDARD,104572
Two Wheeler,Chhattisgarh,2021,March,ATHER,450,X PLUS,135295
Two Wheeler,Chhattisgarh,2021,March,ATHER,450,X PRO,153355
Two Wheeler,Chhattisgarh,2021,March,AVON,E STAR,STD,57000
Two Wheeler,Chhattisgarh,2021,March,AVON,E-LITE,STD,26600
Two Wheeler,Chhattisgarh,2021,March,AVON,E-MATE,STD,42750
Two Wheeler,Chhattisgarh,2021,March,AVON,E-PLUS,STD,23750
Two Wheeler,Chhattisgarh,2021,March,AVON,E-SCOOT,STD,42750
Two Wheeler,Chhattisgarh,2021,March,AVON,E-ZAP,STD,38000
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,AVENGER 220 CRUISE,BS VI,118585
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,AVENGER STREET 160,BS VI,97645
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,CHETAK,PREMIUM,114000
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,CHETAK,URBANE,109250
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,CT 100,ES ALLOY BS VI,49218
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,CT 100,KS ALLOY BS VI,42889
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,CT 100,KS ALLOY BS VI FACELIFT,45734
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,CT110,ES ALLOY BS VI,51406
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,CT110,KS ALLOY BS VI,44329
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,DOMINAR 250,STANDARD,159332
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,DOMINAR 400,STANDARD BS VI,189767
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PLATINA,ES ALLOY BS VI FACELIFT,51224
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PLATINA,ES DISC,
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PLATINA,KS ALLOY BS VI FACELIFT,50464
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PLATINA 110 H-GEAR,ABS,62630
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PLATINA 110 H-GEAR,DISC BS VI,60691
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR 125,DISC BS VI,75204
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR 125,DRUM BS VI,68856
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR 125,SPLIT SEAT,78335
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR 125,SPLIT SEAT DRUM CBS,71738
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR 150,NEON ABS BS VI,90111
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR 150,SINGLE DISC ABS BS VI,97730
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR 150,TWIN DISC ABS BS VI,100728
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR 180,STANDARD,104819
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR 180F,NEON ABS BS VI,108911
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR 220F,BS VI,119107
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR NS160,TWIN DISC ABS BS VI,105592
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR NS200,BS VI,126683
Two Wheeler,Chhattisgarh,2021,March,BAJAJ,PULSAR RS200,BS VI,
Two Wheeler,Chhattisgarh,2021,March,BATTRE,GPS IE,STANDARD,61741
Two Wheeler,Chhattisgarh,2021,March,BATTRE,IOT,STANDARD,75999
Two Wheeler,Chhattisgarh,2021,March,BATTRE,LO EV,STANDARD,56905
Two Wheeler,Chhattisgarh,2021,March,BATTRE,ONE,STANDARD,70300
Two Wheeler,Chhattisgarh,2021,March,BENELLI,IMPERIALE 400,STANDARD,179550
Two Wheeler,Chhattisgarh,2021,March,BENELLI,LEONCINO,STANDARD,436050
Two Wheeler,Chhattisgarh,2021,March,BENELLI,TRK 502,STANDARD,455905
Two Wheeler,Chhattisgarh,2021,March,BENELLI,TRK 502X,STANDARD,493905
Two Wheeler,Chhattisgarh,2021,March,BENLING,AURA,STANDARD,88540
Two Wheeler,Chhattisgarh,2021,March,BENLING,FALCON,LEAD ACID,45743
Two Wheeler,Chhattisgarh,2021,March,BENLING,FALCON,STANDARD,57385
Two Wheeler,Chhattisgarh,2021,March,BENLING,ICON,LEAD ACID,48412
Two Wheeler,Chhattisgarh,2021,March,BENLING,ICON,STANDARD,60051
Two Wheeler,Chhattisgarh,2021,March,BENLING,KRITI,LEAD ACID,41111
Two Wheeler,Chhattisgarh,2021,March,BENLING,KRITI,STANDARD,53562
Two Wheeler,Chhattisgarh,2021,March,BGAUSS,A2,LEAD-ACID,49874
Two Wheeler,Chhattisgarh,2021,March,BGAUSS,A2,LITHIUM-ION,64600
Two Wheeler,Chhattisgarh,2021,March,BGAUSS,B8,LEAD-ACID,59850
Two Wheeler,Chhattisgarh,2021,March,BGAUSS,B8,LI,84550
Two Wheeler,Chhattisgarh,2021,March,BGAUSS,B8,LITHIUM-ION,78850
Two Wheeler,Chhattisgarh,2021,March,BMW,F900 R,STANDARD,1026000
Two Wheeler,Chhattisgarh,2021,March,BMW,F900 XR,PRO,1178000
Two Wheeler,Chhattisgarh,2021,March,BMW,F900 XR,STANDARD,1040250
Two Wheeler,Chhattisgarh,2021,March,BMW,G 310 R,STANDARD,237500
Two Wheeler,Chhattisgarh,2021,March,BMW,G310GS,STANDARD,275500
Two Wheeler,Chhattisgarh,2021,March,BMW,M 1000 RR,COMPETITION,4275000
Two Wheeler,Chhattisgarh,2021,March,BMW,M 1000 RR,STANDARD,3990000
Two Wheeler,Chhattisgarh,2021,March,BMW,R 1250 GS,PRO,1942750
Two Wheeler,Chhattisgarh,2021,March,BMW,R 1250 GS ADVENTURE,PRO,2123250
Two Wheeler,Chhattisgarh,2021,March,BMW,R 1250 R,STANDARD,1543750
Two Wheeler,Chhattisgarh,2021,March,BMW,R NINE T SCRAMBLER,STANDARD,1591250
Two Wheeler,Chhattisgarh,2021,March,BMW,R NINET,STANDARD,1757500
Two Wheeler,Chhattisgarh,2021,March,BMW,R18,CLASSIC,2280000
Two Wheeler,Chhattisgarh,2021,March,BMW,R18,FIRST EDITION,2142250
Two Wheeler,Chhattisgarh,2021,March,BMW,R18,STANDARD,1890500
Two Wheeler,Chhattisgarh,2021,March,BMW,S 1000 XR,PRO,2023500
Two Wheeler,Chhattisgarh,2021,March,BMW,S1000 RR,PRO,2033000
Two Wheeler,Chhattisgarh,2021,March,BMW,S1000 RR,PRO M SPORT,2256250
Two Wheeler,Chhattisgarh,2021,March,BMW,S1000 RR,STANDARD,1852500
Two Wheeler,Chhattisgarh,2021,March,CARBERRY,DOUBLE BARREL,1000CC,698250
Two Wheeler,Chhattisgarh,2021,March,CF MOTO,300NK,STANDARD,217550
Two Wheeler,Chhattisgarh,2021,March,CF MOTO,650GT,STANDARD,521550
Two Wheeler,Chhattisgarh,2021,March,CF MOTO,650MT,STANDARD,474050
Two Wheeler,Chhattisgarh,2021,March,CF MOTO,650NK,STANDARD,379050
Two Wheeler,Chhattisgarh,2021,March,CRAYON,ENVY,LITHIUM-ION,61750
Two Wheeler,Chhattisgarh,2021,March,CRAYON,ENVY,VRLA,50350
Two Wheeler,Chhattisgarh,2021,March,CRAYON,ZEEZ,LITHIUM-ION,55100
Two Wheeler,Chhattisgarh,2021,March,CRAYON,ZEEZ,VRLA,45600
Two Wheeler,Chhattisgarh,2021,March,DELTIC,DRIXX,STANDARD,44641
Two Wheeler,Chhattisgarh,2021,March,DELTIC,EZ,STANDARD,38000
Two Wheeler,Chhattisgarh,2021,March,DETEL EV,EASY,STANDARD,18999
Two Wheeler,Chhattisgarh,2021,March,DUCATI,MULTISTRADA 950,S,1471550
Two Wheeler,Chhattisgarh,2021,March,DUCATI,PANIGALE V2,STANDARD,1661550
Two Wheeler,Chhattisgarh,2021,March,DUCATI,SCRAMBLER 1100,DARK PRO,1044050
Two Wheeler,Chhattisgarh,2021,March,DUCATI,SCRAMBLER 1100,PRO,1135250
Two Wheeler,Chhattisgarh,2021,March,DUCATI,SCRAMBLER 1100,PRO SPORT,1305300
Two Wheeler,Chhattisgarh,2021,March,DUCATI,SCRAMBLER DESERT SLED,STANDARD,1034550
Two Wheeler,Chhattisgarh,2021,March,DUCATI,SCRAMBLER ICON,DARK,759050
Two Wheeler,Chhattisgarh,2021,March,DUCATI,SCRAMBLER ICON,NIGHT SHIFT,893000
Two Wheeler,Chhattisgarh,2021,March,DUCATI,SCRAMBLER ICON,STANDARD,806550
Two Wheeler,Chhattisgarh,2021,March,DUCATI,SCRAMBLER NIGHTSHIFT,STANDARD,931000
Two Wheeler,Chhattisgarh,2021,March,EEVE,4U,STANDARD,66985
Two Wheeler,Chhattisgarh,2021,March,EEVE,AHAVA,STANDARD,53105
Two Wheeler,Chhattisgarh,2021,March,EEVE,ATREO,STANDARD,61655
Two Wheeler,Chhattisgarh,2021,March,EEVE,WIND,STANDARD,52165
Two Wheeler,Chhattisgarh,2021,March,EEVE,XENIAA,STANDARD,70217
Two Wheeler,Chhattisgarh,2021,March,EEVE,YOUR,STANDARD,49312
Two Wheeler,Chhattisgarh,2021,March,EIDER,DAVE,150CC,128108
Two Wheeler,Chhattisgarh,2021,March,EIDER,DRONZER,150CC,73150
Two Wheeler,Chhattisgarh,2021,March,EIDER,ETANIA,150CC,64125
Two Wheeler,Chhattisgarh,2021,March,EIDER,LEORA,125CC,47025
Two Wheeler,Chhattisgarh,2021,March,EIDER,POLICE,650CC,380000
Two Wheeler,Chhattisgarh,2021,March,EIDER,RUDDY,150CC,51490
Two Wheeler,Chhattisgarh,2021,March,EIDER,STOIC,110CC,46550
Two Wheeler,Chhattisgarh,2021,March,GEMOPAI,ASTRID LITE,STD,75991
Two Wheeler,Chhattisgarh,2021,March,GEMOPAI,MISO,STANDARD,41800
Two Wheeler,Chhattisgarh,2021,March,GEMOPAI,RYDER,STD,57000
Two Wheeler,Chhattisgarh,2021,March,HARLEY-DAVIDSON,1200 CUSTOM,STANDARD,1034550
Two Wheeler,Chhattisgarh,2021,March,HARLEY-DAVIDSON,FAT BOY,STANDARD,1733750
Two Wheeler,Chhattisgarh,2021,March,HARLEY-DAVIDSON,FORTY EIGHT,STANDARD,1007950
Two Wheeler,Chhattisgarh,2021,March,HARLEY-DAVIDSON,FORTY EIGHT SPECIAL,STANDARD,1043100
Two Wheeler,Chhattisgarh,2021,March,HARLEY-DAVIDSON,IRON 883,STANDARD,891100
Two Wheeler,Chhattisgarh,2021,March,HARLEY-DAVIDSON,LOW RIDER,STANDARD,1306250
Two Wheeler,Chhattisgarh,2021,March,HARLEY-DAVIDSON,LOW RIDER S,STANDARD,1395550
Two Wheeler,Chhattisgarh,2021,March,HARLEY-DAVIDSON,STREET 750,STANDARD,
Two Wheeler,Chhattisgarh,2021,March,HARLEY-DAVIDSON,STREET ROD,STANDARD,
Two Wheeler,Chhattisgarh,2021,March,HERO,DESTINI 125,100 MILLION EDITION,70870
Two Wheeler,Chhattisgarh,2021,March,HERO,DESTINI 125,LX BS VI,64743
Two Wheeler,Chhattisgarh,2021,March,HERO,DESTINI 125,PLATINUM,68448
Two Wheeler,Chhattisgarh,2021,March,HERO,DESTINI 125,VX BS VI,69160
Two Wheeler,Chhattisgarh,2021,March,HERO,GLAMOUR,BLAZE EDITION - DISC - BS VI,73720
Two Wheeler,Chhattisgarh,2021,March,HERO,GLAMOUR,BLAZE EDITION - DRUM - BS VI,70395
Two Wheeler,Chhattisgarh,2021,March,HERO,GLAMOUR,DISC 100 MILLION EDITION,74290
Two Wheeler,Chhattisgarh,2021,March,HERO,GLAMOUR,DISC BS VI,72580
Two Wheeler,Chhattisgarh,2021,March,HERO,GLAMOUR,DRUM 100 MILLION EDITION,70965
Two Wheeler,Chhattisgarh,2021,March,HERO,GLAMOUR,DRUM BS VI,69255
Two Wheeler,Chhattisgarh,2021,March,HERO,HF DELUXE,KICK ALLOY BS VI,49305
Two Wheeler,Chhattisgarh,2021,March,HERO,HF DELUXE,KICK SPOKE BS VI,48355
Two Wheeler,Chhattisgarh,2021,March,HERO,HF DELUXE,SELF ALLOY BS VI,56929
Two Wheeler,Chhattisgarh,2021,March,HERO,HF DELUXE I3S,SELF START BS VI,57998
Two Wheeler,Chhattisgarh,2021,March,HERO,MAESTRO EDGE 110,100 MILLION EDITION,65550
Two Wheeler,Chhattisgarh,2021,March,HERO,MAESTRO EDGE 110,ALLOY WHEEL,63840
Two Wheeler,Chhattisgarh,2021,March,HERO,MAESTRO EDGE 110,DRUM BRAKE ALLOY WHEEL VX,62415
Two Wheeler,Chhattisgarh,2021,March,HERO,MAESTRO EDGE 125,ALLOY WHEEL DISC BS VI,70538
Two Wheeler,Chhattisgarh,2021,March,HERO,MAESTRO EDGE 125,ALLOY WHEEL DRUM BS VI,68448
Two Wheeler,Chhattisgarh,2021,March,HERO,MAESTRO EDGE 125,PRISMATIC COLOR TECH BS VI,68353
Two Wheeler,Chhattisgarh,2021,March,HERO,MAESTRO EDGE 125,STEALTH EDITION BS VI,71963
Two Wheeler,Chhattisgarh,2021,March,HERO,PASSION PRO 110,DISC 100 MILLION EDITION,67830
Two Wheeler,Chhattisgarh,2021,March,HERO,PASSION PRO 110,DISC BS VI,66120
Two Wheeler,Chhattisgarh,2021,March,HERO,PASSION PRO 110,DRUM 100 MILLION EDITION,65740
Two Wheeler,Chhattisgarh,2021,March,HERO,PASSION PRO 110,DRUM BS VI,64030
Two Wheeler,Chhattisgarh,2021,March,HERO,PLEASURE PLUS 110,CAST WHEEL BS VI,58986
Two Wheeler,Chhattisgarh,2021,March,HERO,PLEASURE PLUS 110,PLATINUM,60886
Two Wheeler,Chhattisgarh,2021,March,HERO,PLEASURE PLUS 110,SHEET METAL WHEEL BS VI,56753
Two Wheeler,Chhattisgarh,2021,March,HERO,SPLENDOR ISMART 110,DISC FI BS VI,
Two Wheeler,Chhattisgarh,2021,March,HERO,SPLENDOR ISMART 110,FI BS VI,63603
Two Wheeler,Chhattisgarh,2021,March,HERO,SPLENDOR PLUS,BLACK AND ACCENT EDITION,61741
Two Wheeler,Chhattisgarh,2021,March,HERO,SPLENDOR PLUS,DRUM 100 MILLION EDITION,63451
Two Wheeler,Chhattisgarh,2021,March,HERO,SPLENDOR PLUS,KICK ALLOY BS VI,58387
Two Wheeler,Chhattisgarh,2021,March,HERO,SPLENDOR PLUS,SELF ALLOY BS VI,60705
Two Wheeler,Chhattisgarh,2021,March,HERO,SPLENDOR PLUS,SELF ALLOY I3S BS VI,61741
Two Wheeler,Chhattisgarh,2021,March,HERO,SUPER SPLENDOR,SELF-DISC ALLOY BS VI,70965
Two Wheeler,Chhattisgarh,2021,March,HERO,SUPER SPLENDOR,SELF-DRUM ALLOY BS VI,67640
Two Wheeler,Chhattisgarh,2021,March,HERO,XPULSE 200,STANDARD,109469
Two Wheeler,Chhattisgarh,2021,March,HERO,XPULSE 200T,STANDARD,107160
Two Wheeler,Chhattisgarh,2021,March,HERO,XTREME 160R,100 MILLION EDITION,106590
Two Wheeler,Chhattisgarh,2021,March,HERO,XTREME 160R,DUAL DISC,104880
Two Wheeler,Chhattisgarh,2021,March,HERO,XTREME 160R,FRONT DISC,102030
Two Wheeler,Chhattisgarh,2021,March,HERO,XTREME 200S,STANDARD,112942
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,DASH,STANDARD,58900
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,FLASH,LEAD ACID,35224
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,FLASH,LITHIUM-ION,40423
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,NYX,E2,57000
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,NYX,E5,61409
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,NYX,ER,66266
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,NYX,HX,61408
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,OPTIMA,E5,58773
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,OPTIMA,ER,65285
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,OPTIMA,LEAD ACID,39682
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,OPTIMA,LITHIUM-ION,51567
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,PHOTON,48V,62191
Two Wheeler,Chhattisgarh,2021,March,HERO ELECTRIC,PHOTON,72V,58775
Two Wheeler,Chhattisgarh,2021,March,HONDA,ACTIVA 125 FI,ALLOY BS VI,72607
Two Wheeler,Chhattisgarh,2021,March,HONDA,ACTIVA 125 FI,DELUXE BS VI,75936
Two Wheeler,Chhattisgarh,2021,March,HONDA,ACTIVA 125 FI,STANDARD BS VI,69121
Two Wheeler,Chhattisgarh,2021,March,HONDA,ACTIVA 6G,20TH YEAR ANNIVERSARY DELUXE,67796
Two Wheeler,Chhattisgarh,2021,March,HONDA,ACTIVA 6G,20TH YEAR ANNIVERSARY STANDARD,66138
Two Wheeler,Chhattisgarh,2021,March,HONDA,ACTIVA 6G,DELUXE,66371
Two Wheeler,Chhattisgarh,2021,March,HONDA,ACTIVA 6G,STANDARD,64713
Two Wheeler,Chhattisgarh,2021,March,HONDA,AFRICA TWIN,ADVENTURE SPORTS - DCT,1662975
Two Wheeler,Chhattisgarh,2021,March,HONDA,AFRICA TWIN,ADVENTURE SPORTS - MANUAL,1516675
Two Wheeler,Chhattisgarh,2021,March,HONDA,CB SHINE,DISC BS VI,72500
Two Wheeler,Chhattisgarh,2021,March,HONDA,CB SHINE,DRUM BS VI,67944
Two Wheeler,Chhattisgarh,2021,March,HONDA,CB350RS,DUAL TONE,188100
Two Wheeler,Chhattisgarh,2021,March,HONDA,CB350RS,STANDARD,186200
Two Wheeler,Chhattisgarh,2021,March,HONDA,CB500X,STANDARD,653017
Two Wheeler,Chhattisgarh,2021,March,HONDA,CD 110 DREAM,DELUXE,62088
Two Wheeler,Chhattisgarh,2021,March,HONDA,CD 110 DREAM,STANDARD,61138
Two Wheeler,Chhattisgarh,2021,March,HONDA,DIO,DELUXE BS VI,65987
Two Wheeler,Chhattisgarh,2021,March,HONDA,DIO,REPSOL EDITION,68362
Two Wheeler,Chhattisgarh,2021,March,HONDA,DIO,STANDARD BS VI,62759
Two Wheeler,Chhattisgarh,2021,March,HONDA,GRAZIA,DELUXE,79282
Two Wheeler,Chhattisgarh,2021,March,HONDA,GRAZIA,SPORTS EDITION - DISC,80232
Two Wheeler,Chhattisgarh,2021,March,HONDA,GRAZIA,STANDARD,72323
Two Wheeler,Chhattisgarh,2021,March,HONDA,HIGHNESS CB 350,DLX,177175
Two Wheeler,Chhattisgarh,2021,March,HONDA,HIGHNESS CB 350,DLX PRO,182875
Two Wheeler,Chhattisgarh,2021,March,HONDA,HORNET 2.0,REPSOL EDITION,124662
Two Wheeler,Chhattisgarh,2021,March,HONDA,HORNET 2.0,STANDARD,122762
Two Wheeler,Chhattisgarh,2021,March,HONDA,LIVO,DISC BS VI,71208
Two Wheeler,Chhattisgarh,2021,March,HONDA,LIVO,DRUM BS VI,67218
Two Wheeler,Chhattisgarh,2021,March,HONDA,SP125,DISC,76865
Two Wheeler,Chhattisgarh,2021,March,HONDA,SP125,DRUM,72784
Two Wheeler,Chhattisgarh,2021,March,HONDA,UNICORN,STANDARD BS VI,91928
Two Wheeler,Chhattisgarh,2021,March,HONDA,X-BLADE,DUAL DISC,107606
Two Wheeler,Chhattisgarh,2021,March,HONDA,X-BLADE,SINGLE DISC,103435
Two Wheeler,Chhattisgarh,2021,March,HUSQVARNA,SVARTPILEN 250,STANDARD,180272
Two Wheeler,Chhattisgarh,2021,March,HUSQVARNA,VITPILEN 250,STANDARD,180637
Two Wheeler,Chhattisgarh,2021,March,JAWA,300,DUAL CHANNEL ABS BS VI,177738
Two Wheeler,Chhattisgarh,2021,March,JAWA,300,SINGLE CHANNEL ABS BS VI,169243
Two Wheeler,Chhattisgarh,2021,March,JAWA,FORTY TWO,DUAL CHANNEL ABS BS VI,165518
Two Wheeler,Chhattisgarh,2021,March,JAWA,FORTY TWO,SINGLE CHANNEL ABS BS VI,157023
Two Wheeler,Chhattisgarh,2021,March,JAWA,FORTY TWO,VERSION 2.1,
Two Wheeler,Chhattisgarh,2021,March,JAWA,PERAK,STANDARD,189513
Two Wheeler,Chhattisgarh,2021,March,JOY EBIKE,E MONSTER,STANDARD,94905
Two Wheeler,Chhattisgarh,2021,March,JOY EBIKE,GEN NXT NANU,STANDARD,39900
Two Wheeler,Chhattisgarh,2021,March,JOY EBIKE,GLOB,STANDARD,66263
Two Wheeler,Chhattisgarh,2021,March,JOY EBIKE,HONEYBEE,STANDARD,40090
Two Wheeler,Chhattisgarh,2021,March,JOY EBIKE,MONSTER,STANDARD,94049
Two Wheeler,Chhattisgarh,2021,March,JOY EBIKE,NANU,BUTTERFLY,31825
Two Wheeler,Chhattisgarh,2021,March,JOY EBIKE,NANU,HONEYBEE,33250
Two Wheeler,Chhattisgarh,2021,March,JOY EBIKE,WOLF,STANDARD,68875
Two Wheeler,Chhattisgarh,2021,March,KABIRA MOBILITY,AETOS 100,LITHIUM-ION,52250
Two Wheeler,Chhattisgarh,2021,March,KABIRA MOBILITY,INTERCITY AEOLUS,LITHIUM-ION,65541
Two Wheeler,Chhattisgarh,2021,March,KABIRA MOBILITY,INTERCITY NEO,LITHIUM-ION,54150
Two Wheeler,Chhattisgarh,2021,March,KABIRA MOBILITY,KM 3000,LITHIUM-ION,120641
